Country Name,Country Code,Year,Agriculture (% GDP),Ease of Doing Business,Education Expenditure (% GDP),Export (% GDP),GDP,Health Expenditure (% GDP),Import (% GDP),Industry (% GDP),Inflation Rate,R&D,Service (% GDP),Unemployment,Population,Land,Continent Name,Export,Import,Education Expenditure,Health Expenditure,Net Trade,GDP Per Capita,Population Density,Cluster
Afghanistan,AFG,2022,27.5011266516953,40.717968,13.670101109673002,47.702334951628586,14151970480.742847,10.902579734499998,54.15520118836773,20.49490897600068,6.124619936291188,12363575558.824837,48.30275327709021,8.804142857142857,41128771.0,652860.0,Asia,154086630779.6377,151001996134.0112,1934588673.728624,1542929865.6658916,3084634645.6265173,344.0893111234189,62.99784180375578,1
Albania,ALB,2022,18.6280324517934,64.76365999999999,11.672968462893827,37.4634354302553,18882095517.8768,6.093392245789474,47.8418782928407,21.4332510450146,6.72520271530062,22818067.85003237,47.292615040548,11.808,2775634.0,28750.0,Europe,7073881662.218906,9033549156.800549,2204101054.935248,1150560144.128867,-1959667494.5816424,6802.804518851117,96.54379130434782,9
Algeria,DZA,2022,11.384083968233,46.736176,15.3546171188354,31.6769143599338,191912889420.911,5.0354502100000005,22.4390739564795,42.2974337654054,9.26551551551551,497962769.7050473,42.2015510546421,11.55,44903225.0,2381740.285714286,Africa,60792081627.53644,43063475189.17495,29467489372.274853,9663677993.362331,17728606438.36149,4273.922183115155,18.85311562697672,3
American Samoa,ASM,2022,10.029778261034568,61.26969371428571,14.267345616902563,76.96916670507673,601100000.0,6.191188366634045,106.0417150795412,26.314817370570445,11.184434281508253,1916892.8763121369,55.44930151833184,7.458547595773403,44273.0,200.0,Oceania,462661661.06421626,637416749.3431221,66009276596.85556,46703212159.75045,-174755088.27890587,13577.123754884467,221.365,9
Andorra,AND,2022,0.495686274509804,61.26969371428571,10.639908027648923,47.702334951628586,3352032737.0391,6.521148340952381,54.15520118836773,11.921568627451,11.184434281508253,12363575558.824837,78.1396078431373,7.458547595773403,79824.0,470.0,Europe,154086630779.6377,151001996134.0112,356653200.27764314,218591027.219606,3084634645.6265173,41992.79335837718,169.83829787234043,9
Angola,AGO,2022,13.6491094624883,39.344634,6.64047193527222,54.02599299516703,106713618735.434,2.9565301861904763,38.74483401254089,44.8763995482735,45.993529551671024,34457827.989616945,41.5760078018205,10.209,35588987.0,1246700.0,Africa,57653092182.89482,41346014447.81964,7086287903.239894,3155020350.689322,16307077735.07518,2998.501158109221,28.54655249859629,3
Antigua and Barbuda,ATG,2022,1.85732678963151,59.596168,10.2930965423584,80.66390091163778,1757603703.7037,5.06586880952381,73.36228786741373,21.302994607557,7.53107834634288,12363575558.824837,65.5829801939931,7.458547595773403,93763.0,440.0,North America,1417751709.9748285,1289418288.6794338,180911846.0542888,89037897.82096101,128333421.29539466,18745.173508779582,213.09772727272727,9
Argentina,ARG,2022,6.44416917103214,57.686538,14.630312420073002,16.7780368212333,632770284408.51,8.83831249047619,15.2982909529659,23.4032965023379,11.184434281508253,3200751398.508979,53.0224492903165,6.491,46234830.0,2780400.0,South America,106166431311.88248,96803039172.72368,92576269510.34949,55926215082.899055,9363392139.158798,13686.008673731689,16.628841173931807,9
Armenia,ARM,2022,10.3643747119717,71.79071,11.390570977154898,47.6802377051659,19502783987.8807,8.299488044285713,50.7465094503647,25.561044734381,8.64091108973845,46685114.42078588,55.2734325325839,12.557,2780469.0,29740.0,Europe,9298973764.54655,9896982119.494093,2221478452.660752,1618631225.377027,-598008354.9475422,7014.206591722727,93.492568930733,9
Aruba,ABW,2022,0.0190148268562249,61.26969371428571,20.611759567260737,68.39468007780688,2618521874.0477405,6.191188366634045,74.06611901201926,13.323195992381695,2.35586896905848,12363575558.824837,77.63694670277934,7.458547595773403,106445.0,180.0,North America,1790929658.5223453,1939437527.5879564,539723432.8948503,46703212159.75045,-148507869.06561112,24599.763953663773,591.3611111111111,9
Australia,AUS,2022,3.17268869332033,80.657646,13.54875940435072,25.8121626590318,1675418665067.09,8.83534510952381,19.9417423001917,27.8759975418473,6.59409671341847,33768641551.45062,62.4279411758337,3.661,25978935.0,7741220.0,Oceania,432461791046.8965,334107672636.99097,226998443945.52463,148029021088.05426,98354118409.90552,64491.42988606308,3.355922580678498,11
Austria,AUT,2022,1.30790007521456,78.773098,10.560430572146473,60.7891206732362,471400066091.247,10.11081457090909,59.3391216002942,26.1770385837056,8.54686993188453,12479746627.909796,62.1108551339018,4.707,9042528.0,83879.0,Europe,286559955029.92334,279724658441.75226,49781876696.61873,47662386569.62888,6835296588.171082,52131.44665863871,107.80443257549564,12
Azerbaijan,AZE,2022,4.76455212671996,69.973916,13.0001859664917,60.0526953696522,78721058823.5294,3.0066287357142856,27.0250579484673,55.9361498306007,13.8522590144267,182289857.4025116,32.1967064646727,5.462,10175016.0,86600.0,Europe,47274117647.05883,21274411764.705853,10233884041.850143,2366849975.646781,25999705882.352978,7736.701232069749,117.49441108545037,4
"Bahamas, The",BHS,2022,0.572983702141517,58.387126,9.91151523590088,37.5292694651635,12897400000.0,5.069233030952382,42.6675143827438,8.24197125001938,5.60540633583043,12363575558.824837,79.3950718749515,10.056,409984.0,13880.0,North America,4840299999.999997,5502999999.999999,1278327766.0350802,653799260.9340525,-662700000.0000019,31458.300811738995,29.537752161383285,9
Bahrain,BHR,2022,0.25761747452519,70.12320400000002,9.29553604125977,81.75378147215315,44390820478.7234,3.953291239047619,65.42695369574909,47.8868998966716,3.62574104304492,44905752.7908048,47.9351122556037,1.399,1472233.0,755.0,Asia,36291174367.87133,29043561559.777466,4126364716.6106553,1754898416.9267285,7247612808.093864,30152.034683860093,1949.9774834437087,4
Bangladesh,BGD,2022,11.2176010351595,42.200396,11.9194583892822,12.8822264348985,460201000095.101,2.5794136199999995,20.897740835675,33.9200804971876,7.69695437176894,12363575558.824837,51.0380826788136,4.699,171186372.0,148191.2857142857,Asia,59284134887.91838,96171612323.05869,54853466713.3961,11870487275.829248,-36887477435.14031,2688.303950358274,1155.1716497692655,2
Barbados,BRB,2022,1.4911584317019548,57.738316,15.5437622070313,39.55656642467565,5637914514.6379,6.653863157142857,46.04648849071816,14.193670869183812,3.6652802654534073,12363575558.824837,72.61489461015786,8.203,281635.0,430.0,North America,2230165399.949171,2596061658.0992694,876344025.5910181,375139116.7207008,-365896258.1500983,20018.51515130541,654.9651162790698,9
Belarus,BLR,2022,7.70846614482636,72.714854,12.285882893730609,63.7082362285368,72793457588.4367,5.644072305714286,57.8746329177422,33.1868487882366,15.2096752740809,465211552.24371314,48.2761503652534,4.17,9208701.0,207600.47619047613,Europe,46375427919.36101,42128946367.440094,8943318953.612791,4108515380.120831,4246481551.9209137,7904.856242855177,44.35780287686284,9
Belgium,BEL,2022,0.659979812767606,73.350558,11.853204318455283,95.3284720419935,578604103123.349,9.87331245047619,97.7457529826763,20.7220338946034,9.59751172872498,13022852051.065031,68.2574516403673,5.631,11669446.0,30530.0,Europe,551574450679.769,565560937386.5784,68583126538.17628,57127390952.64371,-13986486706.809326,49582.825364918695,382.2288241074353,12
Belize,BLZ,2022,7.59920364854033,55.354768,20.33755934238433,49.6174023443358,2824081836.19867,5.382367565238094,52.5260338966199,15.8717420724687,1.3344156600097608,12363575558.824837,59.22167937187,9.687,405272.0,22970.0,North America,1401236047.2000003,1483378182.549999,574349319.3144015,152002464.76733762,-82142135.34999871,6968.361584808894,17.643535045711797,9
Benin,BEN,2022,26.8964460711789,50.81442,18.953288630435345,21.6532095498925,17401746309.266,2.857870238571429,29.2803105204475,17.0177168089335,1.35077863583532,12363575558.824837,46.8936616516736,1.654,13352864.0,114760.0,Africa,3768036593.686051,5095285355.333597,3298203204.731314,497319328.764215,-1327248761.6475463,1303.222013589444,116.35468804461485,1
Bermuda,BMU,2022,0.4367951202057789,61.26969371428571,13.5179738998413,52.3183895106284,7550500000.0,6.191188366634045,25.9678167008807,7.049556922051068,11.184434281508253,15649354.959589744,90.17597327327638,7.458547595773403,63532.0,1667.7142857142858,North America,3950299999.9999976,1960699999.999997,1020674619.3075174,46703212159.75045,1989600000.0000007,118845.6211043254,38.09525441151276,12
Bhutan,BTN,2022,17.682149846018078,65.512594,19.6539344787598,36.91841202763739,1510240199.6244447,3.9075089971428576,57.99730393299863,40.062885772678186,5.63916671396365,12363575558.824837,38.30985635485211,3.604,782455.0,38714.0,Asia,557556699.5043659,875898598.6945143,296821619.3060796,59012771.67879343,-318341899.19014835,1930.130422355848,20.21116392002893,5
Bolivia,BOL,2022,11.525857389342113,50.835038,10.7916116714478,32.523140284006416,43068885672.9378,5.557799748095238,32.379010471509766,27.02024674401492,1.74632872945973,109249613.95302927,46.75256955354792,4.419,12224110.0,1098580.0,South America,14007354106.1679,13945279002.003098,4647826893.043264,2393682419.4379635,62075104.16480255,3523.2737330519603,11.127191465346174,2
Bosnia and Herzegovina,BIH,2022,4.71202605332016,65.00512599999999,14.267345616902563,46.2465992213203,24527507287.7962,8.99111852238095,60.8934500925334,25.2148482558646,14.0208440826771,34002176.728657655,53.7373914389261,14.053,3233526.0,51210.0,Europe,11343137994.36724,14935645409.236671,66009276596.85556,2205297250.8313813,-3592507414.8694305,7585.375001715217,63.14247217340363,9
Botswana,BWA,2022,1.7588160495711,65.84080200000001,18.92718844943577,43.476919334303,20352322157.1467,6.0189694000000005,42.0036634713743,37.4012470344691,11.665567478802,90156716.97057806,55.8729509756617,20.684,2630296.0,581730.0,Africa,8848562686.920147,8548720907.497848,3852122368.5194287,1225000042.82808,299841779.4222994,7737.6546811258895,4.521506540835095,8
